,Business ID,Total Check-Ins,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,Name,City,State,Category,Rating,Review Count
243,Cly7wJhbXIDID_quND01_w,394,48,41,53,26,39,33,38,26,35,22,20,13,Flower Child,Las Vegas,NV, newamerican salad vegetarian,4.5,583.0
244,CoyeXg8FBsS_d20QzNIy-A,375,45,45,50,34,33,27,23,21,25,35,33,4,Makers & Finders,Las Vegas,NV, coffee latin breakfast_brunch,4.0,1248.0
245,Cy8XYYDrZ5wd3Bq-toXMsg,238,26,23,15,23,17,21,24,26,17,24,19,3,Hachi,Las Vegas,NV, japanese tapasmallplates,4.5,383.0
248,D6WXf0lB4pfuXZH3P7c5Ow,252,26,26,23,18,33,22,15,29,16,19,16,9,Oodle Noodle,Las Vegas,NV, noodles izakaya,4.5,367.0
249,D8yYMxz0p6oQnOQnLRUIyA,741,54,91,81,91,72,75,50,104,40,28,39,16,Noodle House,Las Vegas,NV, taiwanese dimsum,3.5,961.0
250,DESv2ys6SjBKA4SyDtJvxw,329,20,25,28,26,41,45,31,23,28,21,33,8,Ferraro's Italian Restaurant & Wine Bar,Las Vegas,NV, italian wine_bars,4.5,1191.0
252,DNSDAtD6uxQkoZkQe2v4ew,297,36,37,36,33,28,17,24,11,29,14,26,6,Curry Leaf Flavors of India,Las Vegas,NV, indpak desserts bars,4.5,615.0
254,DYuOxkW4DtlJsTHdxdXSlg,234,19,13,26,20,23,27,22,21,19,19,15,10,Bahama Breeze - Curbside To Go & Delivery,Las Vegas,NV, bars seafood latin,4.0,1025.0
256,D_24gRsnae7guxJE8gLgtw,1372,138,120,126,132,109,113,156,113,119,124,103,19,Cafe 86,Las Vegas,NV, desserts coffee bakeries,4.0,524.0
257,DbEszO3wk1xVmN3pCPob2g,651,64,69,74,45,57,52,56,51,55,53,56,19,Jamms Restaurant,Las Vegas,NV, breakfast_brunch tradamerican newamerican,4.5,1276.0
258,DfgZlNgKwBvCpA_0alumXw,767,61,55,66,78,57,76,80,67,53,74,78,22,The Mirage,Las Vegas,NV, hotels casinos resorts,3.0,2527.0
259,DkYS3arLOhA8si5uUEmHOw,435,37,42,40,42,45,38,38,43,39,24,35,12,Earl of Sandwich,Las Vegas,NV, sandwiches salad wraps,4.5,5256.0
261,DxgSVufr_6y_Rc63CC17Zg,309,27,25,30,31,26,30,26,28,23,22,32,9,The Forum Shops at Caesars,Las Vegas,NV, shoppingcenters,4.0,711.0
262,DyOzNIeXUksPNLXYHnB-oQ,424,54,41,38,37,31,35,50,37,33,40,17,11,Sabor Latin Street Grill,Charlotte,NC, latin mexican,4.5,866.0
263,DzKl51tivGJMLiNsQqf38w,282,24,26,23,32,17,25,32,27,28,20,18,10,Island Sushi & Grill,Las Vegas,NV, sushi japanese hawaiian,4.0,1151.0
265,E62l6LwZJ7lKaExcUbrtYw,237,16,19,27,18,25,27,17,38,22,12,11,5,Hikari Sushi & Teppanyaki,Las Vegas,NV, sushi teppanyaki cajun,4.0,1282.0
267,EAwh1OmG6t6p3nRaZOW_AA,526,48,44,49,50,40,59,44,33,42,50,43,24,"Ellis Island Hotel, Casino & Brewery",Las Vegas,NV, casinos breweries pubs,4.0,2442.0
269,EEWQsBjVkeXqIMXqdIeRMg,314,19,32,13,33,42,34,31,33,25,23,21,8,Deja Vu Love Boutique,Las Vegas,NV, lingerie adult,4.5,157.0
271,EO2LIIpXIsaP30Sf3ZKTNg,439,0,0,0,0,100,55,75,58,54,40,43,14,Sharetea,Las Vegas,NV, bubbletea coffee shavedice,4.0,130.0
273,ES0ijQ-KlNPUoXl4tK1tDQ,292,24,22,38,23,33,36,20,29,30,11,21,5,SouthPark,Charlotte,NC, shoppingcenters,4.0,234.0
274,EVlKBiHSr2ZUk9GsWwW_Yw,340,31,31,46,26,26,25,38,38,27,14,25,13,Once,Las Vegas,NV, peruvian japanese,4.0,252.0
275,EWbNTPW0co_X4lZRB-QTLQ,357,19,21,17,23,47,40,35,36,41,24,32,22,Ocha Thai Cuisine,Las Vegas,NV, thai chinese,4.0,535.0
277,Ec9CBmL3285XkeHaNp-bSQ,658,72,48,53,44,71,70,52,72,59,40,54,23,District One Kitchen and Bar,Las Vegas,NV, asianfusion vietnamese sportsbars,4.0,1784.0
278,EdY6q0CO2mlATpoTFkvHAw,205,18,18,17,18,22,20,16,16,15,25,17,3,Dim Sum Cafe,Las Vegas,NV, dimsum cafes,4.0,529.0
279,Ef5P6C2yHAv08FPif5Rdtg,204,20,26,23,12,19,26,12,10,23,10,18,5,8oz Korean Steak House,Las Vegas,NV, korean bbq steak,4.5,442.0
280,EhIMjTklf4QPvRvMIhoQiA,331,16,19,37,32,27,43,26,34,30,29,29,9,Miracle Mile Shops,Las Vegas,NV, shoppingcenters,3.5,533.0
281,Ehy00JWQixgoXzisVKhvag,213,49,14,16,11,13,21,20,23,12,11,17,6,Cucina by Wolfgang Puck,Las Vegas,NV, italian pizza,4.0,1054.0
283,EjzMHfwqAmj7BgdzQjquRQ,251,55,42,53,41,49,11,0,0,0,0,0,0,Bandito Latin Kitchen & Cantina,Las Vegas,NV, mexican latin cocktailbars,4.0,515.0
284,EkYbGk9L5KdCfL3ocZ7ETQ,662,1,19,61,62,60,85,74,72,79,68,59,22,Vegas Discount Nutrition Superstore,Las Vegas,NV, healthmarkets vitaminssupplements,5.0,296.0
285,El4FC8jcawUVgw_0EIcbaQ,1324,110,98,137,116,95,121,124,131,117,103,115,57,MGM Grand Hotel,Las Vegas,NV, hotels,3.0,4502.0
287,EnCIojgP5KTr1leaysFE3A,251,20,12,29,24,25,15,20,21,31,20,27,7,Viva Las Arepas,Las Vegas,NV, venezuelan,4.5,1591.0
288,EneqsOFGCK4KXofNHsc5aQ,460,47,43,43,27,45,46,45,39,33,31,42,19,In-N-Out Burger,Las Vegas,NV, burgers hotdogs tradamerican,4.0,783.0
289,Er5XAY2UFGGqBHdqpeCFkA,234,30,26,21,27,21,16,26,13,10,13,28,3,Zenshin Asian Restaurant,Las Vegas,NV, sushi japanese asianfusion,4.0,547.0
290,Er8DpPwf_lHHv64ncWhD8g,378,23,35,33,42,26,27,22,21,37,39,60,13,The Henry,Las Vegas,NV, tradamerican breakfast_brunch,4.0,1156.0
291,EvE23d1PSbfGWe7EA5HRBQ,776,69,66,73,54,65,66,72,83,71,61,70,26,The Magic Noodle,Las Vegas,NV, chinese noodles soup,4.5,926.0
295,FAiZp6pLY5l9JITMQPASbg,330,23,23,33,32,39,32,26,21,50,36,9,6,7th & Carson,Las Vegas,NV, newamerican breakfast_brunch cocktailbars,4.5,424.0
296,FFVAGNz3fQ7Mdsupm5uzMw,243,20,28,32,16,30,25,16,21,20,18,14,3,Infused Tea Lounge,Las Vegas,NV, coffee bubbletea juicebars,4.5,352.0
298,FMOWO7_mj8lSZnV3WqpGiA,281,26,26,24,20,24,25,27,29,22,16,33,9,Target,Las Vegas,NV, deptstores furniture electronics,3.5,185.0
299,FMnH5WIRLyexBYMBUUnDxQ,417,31,34,48,35,37,35,47,45,26,39,29,11,Hearthstone Kitchen & Cellar,Las Vegas,NV, newamerican bars breakfast_brunch,4.0,1293.0
300,FNe5PPA9pyj8FjcDefCBpg,3947,273,239,308,314,495,422,413,404,359,297,269,154,Weera Thai Restaurant - Sahara,Las Vegas,NV, thai bars,4.5,1364.0
301,FQvmRpNVWrna2oL3x3LAKQ,241,29,35,17,24,19,18,26,17,22,23,5,6,Dutch Bros Coffee,Las Vegas,NV, coffee juicebars,4.0,158.0
302,FR6_ikTNUV0Fq7VYmIfeTg,399,34,30,40,35,33,29,30,36,18,45,46,23,Mountain's Edge,Las Vegas,NV, realestatesvcs,4.5,12.0
303,FaHADZARwnY4yvlvpnsfGA,8021,715,658,789,727,747,672,705,780,625,654,690,259,McCarran International Airport,Las Vegas,NV, airports,3.5,4000.0
307,Fv4EXwV30rwGD2NzN1ekgA,238,32,19,15,16,44,13,18,22,19,18,18,4,Gorilla Sushi,Las Vegas,NV, sushi japanese asianfusion,4.5,792.0
308,FvVSy2r7_zDEhZWqLgjXNQ,476,49,41,51,41,52,35,48,50,36,35,27,11,The Bagel Cafe,Las Vegas,NV, bagels cafes delis,4.0,1254.0
309,Fx5haZv9PP3E7Ljp-h7B1Q,211,11,8,18,27,27,15,28,32,18,14,13,0,Eggspectation,Toronto,ON, breakfast_brunch juicebars,4.0,666.0
310,G-5kEa6E6PD5fkBRuA7k9Q,599,41,53,52,40,48,59,66,60,52,51,55,22,Giada - Temporarily Closed,Las Vegas,NV, italian,3.5,3503.0
311,G4hjhtA_wQ-tSOGpgGlDjw,342,21,29,40,35,29,33,43,26,29,27,22,8,Bajamar Seafood & Tacos,Las Vegas,NV, tacos seafood,5.0,704.0
312,G6BwYw_0_atLPTzI1uokIA,1039,101,84,113,102,98,109,125,64,78,84,60,21,Nacho Daddy,Las Vegas,NV, mexican pubs,4.0,1161.0
313,G6w_9uzW4o3Oyb3z8oOZyA,3086,427,436,150,108,110,331,307,292,286,249,295,95,888 Korean BBQ,Las Vegas,NV, korean bbq,4.5,1198.0
315,GG9VcABDC1hDFnjVi6q5Fw,280,26,35,26,35,24,12,19,23,18,31,25,6,Starbucks,Las Vegas,NV, coffee,2.5,159.0
316,GHS1rVjO-RMcRB6WJLpCDQ,1008,84,62,75,113,89,94,81,74,91,81,134,30,Las Vegas North Premium Outlets,Las Vegas,NV, shoppingcenters,3.5,1142.0
317,GI1F8a__wktcfj6YVjTqAA,582,27,42,56,69,55,48,62,54,50,46,59,14,Nuro Bistro,Las Vegas,NV, asianfusion chinese chickenshop,4.5,280.0
320,GJ_bXUPv672YwNg4TneJog,407,50,25,33,26,37,25,38,39,36,38,42,18,China Poblano,Las Vegas,NV, chinese mexican,3.5,1933.0
321,GMrwDXRlAZU2zj5nH6l4vQ,351,30,24,35,33,41,28,32,34,18,24,41,11,Pho Thanh Huong,Las Vegas,NV, vietnamese sandwiches noodles,4.0,597.0
322,GfoCqO0yYiXxTjkyDvSeSw,292,21,33,48,36,27,22,22,27,24,22,10,0,bBd's,Las Vegas,NV, beerbar burgers gastropubs,3.5,291.0
324,Gml97gSULiA6HFjie01d3Q,276,17,25,33,37,30,23,27,21,18,19,19,7,Pellegrini Pizza,Las Vegas,NV, pizza salad sandwiches,4.0,369.0
327,Gzk0BuJ_CLU_TuWn_gSyyQ,975,220,122,81,70,74,60,78,49,66,77,63,15,7 Leaves Cafe,Las Vegas,NV, coffee macarons,4.5,308.0
334,Hcg-t9QhHvTeSxnvzMtrtw,1739,147,131,97,151,176,196,188,199,168,125,116,45,Meet Fresh,Las Vegas,NV, desserts shavedice bubbletea,4.0,363.0
335,HhVmDybpU7L50Kb5A0jXTg,469,44,48,41,50,51,45,36,30,31,47,33,13,Guy Fieri's Vegas Kitchen - Temporarily Closed,Las Vegas,NV, tradamerican breakfast_brunch burgers,3.5,3875.0
336,HhcBx0LSDkxRBKMkvkwSoA,225,17,26,27,21,35,23,21,19,12,4,16,4,Deejai  Noodle Bar,Charlotte,NC, thai noodles cocktailbars,4.0,243.0
339,HmsCerK_rub0Ulo0aC0f9A,213,19,20,22,29,23,17,14,14,19,18,15,3,Hanabi Sushi and Rolls,Las Vegas,NV, sushi ramen,4.5,634.0
340,Hsn3CYnTsrQ2nJzTKefDQA,296,30,34,28,18,19,23,26,21,29,32,20,16,Pho Saigon 8,Las Vegas,NV, vietnamese sandwiches coffee,4.0,288.0
343,I1gRYCt2exnOMsTr-lEJVA,214,10,13,27,40,20,18,14,23,18,13,12,6,Squeeze In,Las Vegas,NV, tradamerican breakfast_brunch,4.5,533.0
344,I6EDDi4-Eq_XlFghcDCUhw,448,25,34,46,42,53,31,46,46,36,29,39,21,Joes Seafood Prime Steak & Stone Crab,Las Vegas,NV, seafood steak wine_bars,4.5,2884.0
345,I6ICIIZfZsp_J9hHmfhWhQ,1071,76,66,70,96,100,111,90,83,99,109,124,47,Las Vegas Strip,Las Vegas,NV, localflavor,4.0,278.0
346,IB8zLlGraOg9LU7qQVLPyg,603,60,50,58,39,55,56,51,52,55,46,51,30,Fashion Show,Las Vegas,NV, shoppingcenters,4.0,795.0
347,ICFYlS9nwsoAyaiRXMu9tQ,334,23,24,39,24,52,38,38,42,21,13,17,3,Fuwa Fuwa Japanese Pancakes,Toronto,ON, desserts coffee breakfast_brunch,4.0,346.0
348,ICWRXA2TXYYoAfLibm7Myw,273,0,0,0,0,0,0,0,0,29,134,89,21,Tim Ho Wan,Las Vegas,NV, dimsum asianfusion,3.5,261.0
351,IJUCRd5v-XLkcGrKjb8IfA,229,14,21,17,11,20,17,22,21,40,27,13,6,168 Market,Las Vegas,NV, intlgrocery,3.5,237.0
352,IMLrj2klosTFvPRLv56cng,290,29,22,27,21,34,25,17,26,26,24,27,12,Honey Salt,Las Vegas,NV, newamerican,4.0,1880.0
356,IWN2heYitkg-D4UdqfxcMA,853,69,52,108,71,88,91,83,90,60,53,63,25,HEXX kitchen + bar,Las Vegas,NV, cocktailbars breakfast_brunch steak,4.0,3482.0
358,IZivKqtHyz4-ts8KsnvMrA,3829,420,332,332,338,378,307,326,324,327,305,317,123,Kung Fu Tea,Las Vegas,NV, bubbletea coffee juicebars,4.5,1400.0
360,Ia1JlEo7UUyZtmqRe1K1Pw,272,38,23,28,25,15,24,13,11,33,30,26,6,Makers & Finders,Las Vegas,NV, coffee latin breakfast_brunch,4.0,493.0
361,IhNASEZ3XnBHmuuVnWdIwA,2473,219,184,256,209,242,202,234,229,229,215,182,72,Brew Tea Bar,Las Vegas,NV, tea bubbletea desserts,5.0,1902.0
365,ItqPtxnayraXSlBS0EMOgg,380,46,25,41,40,29,9,33,30,50,29,30,18,MTO Café,Las Vegas,NV, breakfast_brunch cafes comfortfood,4.5,1210.0
366,IuSx68tb7iZa-aAeknXp8A,479,22,14,16,13,38,89,68,57,45,52,48,17,Outback Steakhouse,Las Vegas,NV, steak,3.5,289.0
368,IzHfj2uahaUaMw9VD0VEEg,202,11,6,7,14,23,21,24,26,29,16,20,5,Park Theater - Temporarily Closed,Las Vegas,NV, theater,4.0,170.0
373,J7KlrDFrriWoRkIUVNRPbg,278,10,17,14,14,33,59,38,27,33,15,11,7,Tacos N' Ritas,Las Vegas,NV, bars hotdogs tacos,3.5,203.0
374,JAmQCmczUclNUfZjkNdjQA,661,52,44,85,49,57,60,63,47,52,71,59,22,High Roller - Temporarily Closed,Las Vegas,NV, amusementparks,4.0,2049.0
375,JBAkpL5KCK2tyomhAL6DHg,213,24,25,11,24,20,10,22,13,27,11,16,10,Tekka Bar: Handroll & Sake,Las Vegas,NV, sushi japanese,4.0,177.0
377,JDZ6_yycNQFTpUZzLIKHUg,670,92,43,75,51,67,38,71,66,64,50,41,12,El Dorado Cantina - Las Vegas Strip,Las Vegas,NV, mexican bars latin,4.5,4088.0
379,JJAwT9R6Fp2yyWHtWFA8uQ,438,21,18,11,22,15,19,14,27,104,79,68,40,Sushi Way,Las Vegas,NV, sushi izakaya,4.5,1269.0
381,JPfi__QJAaRzmfh5aOyFEw,1375,111,123,111,112,132,107,138,115,107,131,129,59,Shang Artisan Noodle,Las Vegas,NV, noodles chinese,4.5,1972.0
382,JRh14J_be0jl7Wbt412vDA,237,17,11,28,20,25,31,22,18,18,22,14,11,Oscar's Steakhouse,Las Vegas,NV, steak cocktailbars,4.0,680.0
387,JkzHSjtQpLdp12gPcErNJA,317,0,0,0,0,0,0,13,100,36,70,69,29,The Camp Transformation Center - Las Vegas East,Las Vegas,NV, gyms weightlosscenters healthtrainers,5.0,9.0
389,JpgVl3d20CMRNjf1DVnzGA,310,20,25,40,33,28,25,25,31,23,22,26,12,Pampas Las Vegas,Las Vegas,NV, brazilian steak seafood,3.0,3220.0
390,Jt28TYWanzKrJYYr0Tf1MQ,232,14,19,17,31,24,21,28,26,12,25,9,6,Cabo Wabo Cantina,Las Vegas,NV, mexican bars breakfast_brunch,3.5,1523.0
391,Jur1iiejUFw_YCkfDfy1gQ,350,36,43,35,23,32,27,27,33,30,24,30,10,Orchids Garden Chinese Restaurant,Las Vegas,NV, dimsum,3.5,1022.0
392,JyxHvtj-syke7m9rbza7mA,339,32,28,36,34,28,32,32,33,20,33,23,8,Sushi House Goyemon,Las Vegas,NV, japanese sushi,3.5,1930.0
397,K2_zfa7cKbg5klHJYqoWnw,221,17,26,20,15,16,24,21,27,24,14,14,3,Hot N Juicy Crawfish,Las Vegas,NV, seafood cajun,4.0,693.0
398,K4cpZcZVHxc13y0ekvDhFQ,245,13,33,23,20,23,18,14,17,23,17,31,13,Target,Las Vegas,NV, deptstores furniture electronics,3.5,154.0
399,K7lWdNUhCbcnEvI0NhGewg,1054,83,82,99,81,91,70,89,103,105,103,109,39,Wicked Spoon,Las Vegas,NV, buffets breakfast_brunch,3.5,7512.0
401,KAntBJ1ougj5TtbIu0ITBw,291,52,22,15,13,21,24,27,32,34,27,20,4,Pokeatery,Charlotte,NC, poke hawaiian sushi,4.5,97.0
402,KBCNCq8Ecc8cdrMLgPM81g,323,18,23,25,34,36,29,30,38,30,30,17,13,Smog Busters,Las Vegas,NV, smog_check_stations,5.0,112.0
405,KW7gFEaN6SyxwsRRz-4IMg,208,11,23,25,9,19,29,31,30,16,9,5,1,The Range 702,Las Vegas,NV, gun_ranges guns_and_ammo,4.5,644.0
407,Ka00H3EHLLiPNpMj1V4Hcw,307,30,27,41,30,28,35,22,22,21,18,25,8,The LINQ Promenade - Temporarily Closed,Las Vegas,NV, shoppingcenters,4.0,359.0
408,Kbbm6Vd5UdbP10dwjBghRw,241,27,22,18,24,28,16,18,21,18,20,21,8,In-N-Out Burger,Las Vegas,NV, burgers hotdogs,4.0,372.0
409,Ki8seQY5mtXc36xjoMfeDA,382,34,29,40,40,33,41,47,29,31,20,26,12,Flour & Barley,Las Vegas,NV, pizza italian gastropubs,3.5,729.0
411,KpEgsQz0eCQfL7kfkZ8QeA,284,18,17,49,33,35,20,23,20,18,26,18,7,Mother Falafel,Las Vegas,NV, falafel mideastern,4.5,174.0
414,L1-1P3acJc4gEFvWwjXcNQ,255,23,25,26,18,33,30,21,26,19,18,13,3,Meráki Greek Grill,Las Vegas,NV, greek mediterranean,4.5,707.0
415,L16ly2UGc9j4qO3Id8Gx3A,363,42,27,33,30,40,25,37,36,29,24,28,12,Chef Kennys Asian Vegan Restaurant,Las Vegas,NV, vegan chinese sushi,4.5,600.0
416,L2W0QLXIIR5MEmhQwZk-iA,220,14,21,27,14,22,22,22,25,10,20,15,8,Hot N Juicy Crawfish,Las Vegas,NV, cajun seafood,4.0,466.0
418,L5y4EN1J6Gs-J4U36oyHxg,210,7,13,29,19,17,22,26,26,21,15,9,6,LV Nails & Spa 2,Las Vegas,NV, hairremoval othersalons eyelashservice,4.5,198.0
420,LFs5jyYdXlzi0SpAYi1eSA,211,13,26,22,15,24,20,18,12,18,13,19,11,Maggiano's Little Italy,Las Vegas,NV, italian bars,4.0,1725.0
421,LHrksD6vqQW5PY4lRwJSDQ,653,58,48,76,54,58,56,48,64,49,61,52,29,EōS Fitness,Las Vegas,NV, healthtrainers gyms cardioclasses,4.0,328.0
422,LIU7IcJtD9VieoIo__wd9Q,259,28,20,20,29,4,28,48,17,18,24,19,4,Thai Pan Cuisine,Las Vegas,NV, thai,4.5,295.0
425,LR0qF0FEVsCOhYWUOiH26A,379,30,44,27,30,34,33,32,33,23,33,46,14,The Buffet at ARIA - Temporarily Closed,Las Vegas,NV, buffets,3.0,2727.0
427,LYKkltobuO2JEo8CyJKOxw,259,0,0,0,0,0,20,62,54,41,33,34,15,"Snooze, An A.M. Eatery",Charlotte,NC, breakfast_brunch tradamerican sandwiches,4.0,349.0
429,LcbMEHpN5r45I4ZbyxhK0w,299,31,28,21,20,29,32,25,25,25,31,25,7,Paris Baguette,Las Vegas,NV, coffee bakeries cakeshop,4.0,161.0
431,LklWSvyLZXN3tEGxT8rIfg,688,80,68,60,53,58,61,63,60,62,59,40,24,Hattie B's Hot Chicken,Las Vegas,NV, southern chickenshop comfortfood,4.0,665.0
432,Lo-lpCxoP1_T3cvTpp4ZCw,211,24,26,20,23,15,17,16,23,9,16,15,7,Tenaya Creek Brewery,Las Vegas,NV, breweries,4.5,218.0
434,Lx3p5OmxGkbaCKq7G7FfPA,328,19,20,27,27,21,18,16,28,42,47,42,21,Albertsons,Las Vegas,NV, grocery drugstores,3.0,69.0
435,M0pkmBUi_CI0qrzN7ee80Q,247,18,16,20,23,25,28,13,23,23,33,23,2,Amélie's French Bakery & Café,Charlotte,NC, cafes bakeries,4.0,682.0
436,M9zu5KTyVwVC-45Mn8Wp0g,215,28,19,24,12,23,19,11,22,12,22,18,5,Taste,Las Vegas,NV, seafood cantonese,4.0,265.0
440,MQEpDvkdL39hh1N0We3Vaw,495,26,29,39,51,47,57,56,58,37,53,26,16,Hot Taco,Charlotte,NC, mexican,2.5,587.0
441,MQI1rSTE2LGrrsPPgenCrA,750,107,71,79,86,56,50,70,63,57,51,40,20,Master Kim's Korean BBQ,Las Vegas,NV, bbq korean,4.5,659.0
442,MQo7D58KbYrHfiMzWuLdtg,662,0,0,14,123,102,104,88,75,49,52,38,17,China Fresh Tea,Las Vegas,NV, coffee tea,5.0,176.0
444,MZdFfPLqkiBClj97lvhtPw,203,0,0,0,0,45,46,33,21,17,14,22,5,Yummy Rice,Las Vegas,NV, chinese hkcafe,4.0,133.0
446,MpmFFw0GE_2iRFPdsRpJbA,221,21,17,19,18,14,27,20,23,28,13,16,5,XS Nightclub,Las Vegas,NV, danceclubs musicvenues,4.0,3264.0
448,N0CoaG3cBrTGm2ecLYSzqA,1305,129,96,102,102,120,105,121,119,113,112,130,56,Lotus of Siam,Las Vegas,NV, thai seafood wine_bars,4.5,1577.0
449,N0apJkxIem2E8irTBRKnHw,262,25,32,22,14,22,17,16,27,31,25,19,12,Wolfgang Puck Bar & Grill,Las Vegas,NV, newamerican pizza sandwiches,4.0,1780.0
451,N5CL5HLS6lyltw-OjjBrOw,216,18,19,15,15,20,17,15,19,23,22,27,6,Hussong's Cantina Boca Park,Las Vegas,NV, bars mexican vegan,4.0,566.0
452,N7yuiiu8jhQ-Fl9Npflreg,205,27,15,9,21,18,19,18,15,15,24,15,9,Lemongrass - Temporarily Closed,Las Vegas,NV, thai,3.5,1235.0
453,N95IG-T9bbR2iNL9_an1SQ,527,59,45,57,49,50,49,36,64,46,36,26,10,Me Gusta Tacos,Las Vegas,NV, mexican,4.0,420.0
455,NCFwm2-TDb-oBQ2medmYDg,348,35,16,31,46,35,35,34,32,24,25,27,8,Fountains of Bellagio - Temporarily Closed,Las Vegas,NV, landmarks,4.5,1257.0
456,NFm869_w6cvVaWaNpAzjeA,293,11,32,27,16,22,49,28,38,25,16,21,8,Soul Gastrolounge,Charlotte,NC, tapas cocktailbars gastropubs,4.0,1106.0
457,NI3xvN6p0qhvUkKirbKokA,283,17,28,33,24,19,32,28,26,21,19,27,9,Original Pancake House - South Park,Charlotte,NC, breakfast_brunch tradamerican creperies,4.0,319.0
458,NINXtsdhMcT2kCAI52ZPQQ,240,32,24,19,25,18,22,17,15,16,13,27,12,Seafood City Supermarket,Las Vegas,NV, grocery seafoodmarkets filipino,3.0,84.0
459,NIOwzgujIXKVBEVNTQBXpg,392,47,48,35,30,30,41,31,39,30,23,27,11,Jjanga Steak & Sushi,Las Vegas,NV, sushi steak teppanyaki,4.0,1459.0
461,NKh691Q7BZZ2r0f2RJxdsg,841,0,57,123,135,114,83,81,65,48,52,75,8,MILK+T,Las Vegas,NV, bubbletea,4.5,263.0
462,NQXuoB9JTPUItHvouMgWjQ,527,61,50,54,50,57,44,52,40,40,49,19,11,Violette's Vegan Organic Cafe & Juice Bar,Las Vegas,NV, vegan juicebars vegetarian,4.5,963.0
464,NXT94mdw1KWadc3q0u0KYg,520,44,35,40,51,37,60,57,49,49,35,42,21,A.Y.C.E. Buffet - Temporarily Closed,Las Vegas,NV, buffets,4.0,954.0
465,NY80DkkCfEl198JmwtO4pA,424,59,46,33,42,39,39,30,39,25,25,38,9,Harrah's Las Vegas Hotel & Casino - Temporarily Closed,Las Vegas,NV, hotels casinos,2.5,1969.0
466,NYoSzQnJX2vBOT2278UcMA,316,26,22,23,27,31,35,27,27,29,27,35,7,Mott 32,Las Vegas,NV, cantonese cocktailbars dimsum,4.0,374.0
467,NblDoJBEwhkJyvAuxzh4rg,211,47,15,21,17,16,12,16,11,16,15,19,6,Gyu-Kaku Japanese BBQ,Las Vegas,NV, japanese bbq asianfusion,4.0,684.0
473,NvKNe9DnQavC9GstglcBJQ,388,55,42,56,35,29,28,29,31,19,31,25,8,Grand Lux Cafe,Las Vegas,NV, desserts tradamerican sandwiches,4.0,3057.0
474,Nzk07R8GUXtfzkmqikhCCA,398,29,37,36,37,35,33,35,32,35,40,35,14,Smith's,Las Vegas,NV, grocery,3.0,114.0
476,O3lQvyOADBs7f2W8A5D0Yg,201,12,21,9,3,3,8,34,29,19,26,23,14,24 Hour Fitness - Las Vegas Tropicana,Las Vegas,NV, healthtrainers gyms,3.0,221.0
477,OETh78qcgDltvHULowwhJg,388,33,46,34,27,34,32,52,20,21,38,33,18,Gordon Ramsay Steak - Temporarily Closed,Las Vegas,NV, steak newamerican,4.0,4179.0
